socategory,title,post_slug,image_src,post_content
Irene Villa,"Irene Villa reveals the truth of the relationship with the leader of VOX, Santiago Abascal",irene-villa-reveals-the-truth-of-the-relationship-with-the-leader-of-vox-santiago-abascal,,
Shakira,Shakira stated in the courts of Madrid accused of plagiarism,shakira-stated-in-the-courts-of-madrid-accused-of-plagiarism,https://look.okdiario.com/img/2019/03/27/shakira-juicio.jpg,"<p><strong>Shakira</strong> has traveled Wednesday to Madrid to solve one of the legal fronts that have open. The Colombian said in the commercial courts number 12 of the capital, after the <strong>lawsuit filed by the singer Livan Castellano Valdes</strong>. The artist is accused of alleged plagiarism by his song 'The bicycle', who plays alongside <strong>Carlos Vives</strong>, also involved.</p><p>Around 10:00 o'clock in the morning has begun the view. Minutes before reaching the place a Shakira very smiling, quiet and greeted all those present at its entrance to the enclosure. That Yes, without making statements. Behind him, the singer Carlos Vives, who stopped it with the media. <strong>If you want to know his words and see how Shakira has come to an important appointment, don't miss our video.</strong></p>"
Rosa López,Rosa López explains the reasons why has rejected to go to 'Survivors 2019',rosa-lopez-explains-the-reasons-why-has-rejected-to-go-to-survivors-2019,,
Alba Carrillo,Noelia López gets wet on the controversial Alba Carrillo and Courtois,noelia-lopez-gets-wet-on-the-controversial-alba-carrillo-and-courtois,,
Mirtha Legrand,Mirtha Legrand and daughter reveal the details of his meeting with the Queen,mirtha-legrand-and-daughter-reveal-the-details-of-his-meeting-with-the-queen,https://look.okdiario.com/img/2019/03/28/dl_u429614_053-655x368.jpg,"<p class='capital'>The meeting of <strong>Mirtha Legrand</strong> with Doña Letizia was one of the most anticipated of the Kings travel to Argentina. In fact, such as ensuring the daughter of the veteran presenter, <strong>Marcela Tinayre,</strong> the spouse of Felipe VI had asked specifically to meet her. Although did not on Tuesday awaited photography including, take place at the gala dinner that Monday the Macri offered in honour of<strong> Their Majesties in the CCK </strong>, the reception given by don Felipe and Doña Letizia at the <strong>Four Seasons</strong> of Buenos Aires City offered to  Legrand the opportunity to be face to face with the Queen. A meeting that the daughter of the presenter has detailed in his program ""The blondes"", and that own Legrand has given some hints in an interview with Argentine newspaper ""La Nación"".</p><p>""It is very cute.""</p><p>The legendary actress has been a very good impression of the Queen in all aspects. ""It is very skinny, but very cute. It has a beautiful skin. I was very well combed and make-up. A very careful and extremely pleasant woman.  It seems to me that the Queen was operated nose"", said the Argentine.<p><p>Legrand has highlighted the closeness of Doña Letizia and has even defended it's possible opponents. ""It is very nice. Even I dared to tell him if he could give him a kiss and accepted with good grade. Some criticized it because he had uncovered shoulders, but everything has evolved. Before the Queens were covered, now no. It has changed the royalty. And the treatment towards them, also. Many years ago, when King Juan Carlos, I remember that I greeted him at the Plaza Hotel, with a small bow. Now that is not over. Royalty has become popular. Felipe and Letizia have provided much"", he explained.</p><p><p>However, did not like the hostess that their Majesties were not specific and that the cocktail was all the time standing, something that is not very suitable for people of a certain age. ""Kings were not very specific, became the seven quarter and the appointment was at half past six. All questionable is that everyone should stand. The women, all with high heels, complained about being so long standing, but, as it was a cocktail, had to remain so.""<p><p>Mirtha has ensured that she was very shocked to see the King in person, by the handsome is and that much insisted in taking a photograph with the Queen, despite the recommendations of the staff of Protocol.</p>"
Pregnancies,Isabel Jiménez says goodbye to television,isabel-jimenez-says-goodbye-to-television,,"<p>Not typically very women who are about to give birth to work until almost the last day, but <strong>Isabel Jiménez</strong> is made of other pasta. The journalist is about to welcome their first child but has not abandoned the news nor its agenda of advertising commitments so far.</p><p><p style=' margin:8px 0 0 0; padding:0 4px;'>Lucky to have you... World Down syndrome day! Help, we aware but, above all, we are going to enjoy them, your joy and your strength! #DOWNESPAÑA #díamundialdelsíndromededown #lasuertedetenerte (because it has no remedy, but has not been saved me the scissors of the principle 🙏🙏🙏) @david_cantero_informativos forgive me! 😂😂😂 #porciertoellunesvuelvo #puentelargo</p><p style=' color:#c9c8cd; font-family:Arial,sans-serif; font-size:14px; line-height:17px; margin-bottom:0; margin-top:8px; overflow:hidden; padding:8px 0 7px; text-align:center; text-overflow:ellipsis; white-space:nowrap;'>TO post shared by Isabel Jiménez (@isabeljimenezt5) on Mar 21, 2019 at 1:57 am PDT<p><p><p>Hugo, this is how your baby will be called. It will come to the world in the next few days and so has confirmed it the own Isabel during their last promotional event, in Almeria: <strong>""It's a matter of days, the coming week""</strong>. Despite voluminous your gut, the presenter did not want to stop working and thus explains it: ""Continue at the same pace until I stop"". Journalism is his life and did not want to renounce it until no choice but has not been. This Friday it will present his last newscast with David Cantero.</p><p>During the months of pregnancy, Isabel Jiménez has experienced many joys. Perhaps one of the biggest was the 'baby shower' which held you her close friend <strong>Sara Carbonero</strong>. Both have a very strong friendship forged in the corridors of Telecinco. The woman of Iker Casillas is one of the people that more descent has been Isabel in these months and the affection is mutual<strong>: ""Sara is crazy, we are like sisters. Martin and Lucas want them as if they were my nephews'</strong>, said during a ceremony. Therefore, it is not surprising that the Corral de Almaguer trip in the coming days to Madrid to be with her.<p><p><p style=' margin:8px 0 0 0; padding:0 4px;'>Plotting veery nice things! #tardesdeviernes #nuncasonsuficientes #llegalarevolución #buenfinde #slowlife @slowloveoficial</p><p style=' color:#c9c8cd; font-family:Arial,sans-serif; font-size:14px; line-height:17px; margin-bottom:0; margin-top:8px; overflow:hidden; padding:8px 0 7px; text-align:center; text-overflow:ellipsis; white-space:nowrap;'>To post shared by Isabel Jiménez (@isabeljimenezt5) on Mar 15, 2019 at 11:26 am PDT</p><p>"
T-shirts,The new collection after the most famous feminist TV t-shirt,the-new-collection-after-the-most-famous-feminist-tv-t-shirt,https://look.okdiario.com/img/2019/03/29/marisa-1.jpg,"<p>After sweeping to victory with his collection of feminist t-shirts, <strong>Marisa Martin Blázquez</strong> introduces its new and long-awaited line of t-shirts with the message. On March 8, <strong>Ana Rosa Quintana started its program showing the powerful phrase stamping his shirt: ""women to power</strong>"". The garment, a preview of the verses fabric project which was her friend and companion preparing and which has finally seen the light.</p><p>The journalist had this Thursday in Madrid this special project, surrounded by a multitude of friends of the press and other well-known faces, such as <strong>Makoke or María Palacios.</strong> Marisa recognizes that it is always a good time to show off poetry in a t-shirt and appreciates the great reception that are taking their clothes. ""Even so, and knowing that is something pretentious, and""a typical topic"", ensures that<strong> would love to see the Reina Letizia with his clothing with message. </strong>"" Do you imagine to Letizia with a's? do them in an act? "", he said.""<p><p>""<strong>What you write at the end has something of your experience</strong>,"" acknowledged last night during the event, while adding that he could not opt for one of the five legends that make up this first collection. ""<strong>Cost me a lot opt for sentences,</strong> because I had many, but in the end I got to select only five"", he added. If I go to check, be less; Horizontal Declaration of love: go...; You don't place yourself here, I am not your drug, nor your heroine; I'm going to make the exception for all my rules and I am a bullet (da) lost, are by which finally has opted.</p><p>Ecological organic cotton t-shirts that Marisa has printed some verses written by her. ""I write poetry and am related to the publishing world and it occurred to me to print verses I write in fabric. <strong>I partnered with a company of t-shirts to create my signature fabric of verses</strong>"", had a LOOK on the occasion of the"" launch of <strong>the feminist t-shirts that revolutionized Mediaset</strong>. ""<strong>The verses may be to wear them, but are also a manifestation of feelings, thoughts, intentions and ideologies and should show them</strong>. <strong>A t-shirt is not just a garment</strong>"", he commented.<p>"
White slope,White slope flees from the press after which the Prosecutor asks prison for an alleged crime of fraud,white-slope-flees-from-the-press-after-which-the-prosecutor-asks-prison-for-an-alleged-crime-of-fraud,https://look.okdiario.com/img/2019/04/02/dl_u430020_003-655x368.jpg,"<p>Dressed with sportswear and peel off the mobile. White slope has not changed his routine after the Prosecutor's Office has requested three years in prison for her and her husband, Borja Thyssen, for an alleged crime of tax fraud.</p><p><p>The artist has been the first to appear in public after yesterday the news to emerge and has done so at the College for their children, although it did not want to make statements about all the information that have been published so far.</p><p>As they confirmed several media throughout the day yesterday. The Madrid provincial prosecutor's Office has asked three years in prison for marriage Thyssen for an offence of tax fraud against the public Treasury. White and Borja are accused of defrauding a total of 336.417,89 euros in the fiscal year 2010 through a partnership. The total amount allegedly disappointed will be added the fine of one million euros to each requesting the Prosecutor's Office.</p>"
El Hormiguero,Pablo Motos reveals her unknown business with Will Smith,pablo-motos-reveals-her-unknown-business-with-will-smith,,
White slope,Visit to Tita Cervera that shows the worrying situation of Borja Thyssen and Blanca Cuesta,visit-to-tita-cervera-that-shows-the-worrying-situation-of-borja-thyssen-and-blanca-cuesta,https://look.okdiario.com/img/2019/04/03/carmen-thyssen-borja-carcel-655x368.jpg,
