joke,category,title
"Namų darbams Petriuko klasei užduoda sužinoti 3 frazes. Petriukas grįžta į namus ir klausia sesės:
- Sese, pasakyk frazę. Sesė piktu balsu atkerta. - Eik šikt!! Dabar Petriukas nuėjo pas tėtį ir jam sako:
- Tėti, pasakyk frazę. Tėtis žiūrėdamas futbolo rungtynes per televizorių, kad suriks! - JĖĖĖ! Ir kai Petriukui paliko sužinoti paskutinę frazę jis nuėjo pas mamą. Ši šnekėdama mobiliuoju telefonu sako:
- Tarzanas be triūsikų! Kitą dieną Petriukas eina į mokyklą. Atėjęs į mokykla nueina į klase ir mokytoja iš karto prašo pasakyti namų darbus. Mokytoja sumano paklausti pirmojo Petriuko ji ir sako:
- Petriuk, pasakyk frazę. Petriukas atsako:
- Eik šikt! Mokytoja pasipiktinusi sako jam, Petriuk, eisim pas direktorių. Petriukas atkerta:
- JĖĖĖ! Mokytoja jo paklausia: 
- O tu žinai kas jis toks? Petriukas atsako:
- Tarzanas be triūsikų! 


PS: Nežinau kaip jums, bet mane šitas pramušė. ;D",anekdotai,"Namų,darbams,Petriuko,klasei,užduoda"
"Važiuoja žmogelis naktį per mišką. Staiga žiūri, stovi kažkoks tipas, visas rožinis, ir stabdo mašiną. Žmogelis sustoja ir klausia:
- Ko tau?
- Pavežk...
- O kas tu toks?
- Aš - gėjus iš Veneros!
- O tu prie žemės gyventojų nesikabinėsi?
- Ne, žemiečiams aš frigidiškas.
- Na, tada sėsk, važiuojam.
Važiuoja toliau. Žiūri, kažkoks raudonas veikėjas stabdo. Sustoja.
- Tau ko?
- Pavežk...
- O tu, bendrai, kas toks?
- Aš - gėjus iš Marso.
- O kaip tu, kas link žemiečių?
- Jie manęs nejaudina...
- A, tada sėsk, važiuojam.
Važiuoja trise. Žiūri, kažkoks žalias tipas mojuoja. Sustoja, vairuotojas nuleidžia stiklą ir klausia:
- Nu, o tu, pydere, iš kur?
- Kelių policija, prašom jūsų dokumentus...",anekdotai,"Važiuoja,žmogelis,naktį,per,mišką."
"Labai jaudinausi prieš savo pirmąsias mišias, kad net negalėjau kalbėti. Prieš antrąsias mišias kreipiausi į vyskupą pagalbos ir klausiau, ką daryti, kad bent kiek atsipalaiduočiau. Jis man patarė štai ką:
- Įlašink keletą lašų degtinės į vandenį ir pamatysi, kaip per kitas savo mišias atsipalaiduosi.
Kaip patarė, taip ir padariau. Kitą sekmadienį jaučiausi taip atsipalaidavęs, kad galėjau perrėkti net didžiausią triukšmą. Tikrai buvau atsipalaidavęs.
Kai grįžau namo, radau vyskupo raštelį, kuriame buvo tokie pastebėjimai:

Brangus kunige,
1. Kitą kartą įlašinkite į vandenį kelis lašus degtinės, o ne kelis lašus vandens į degtinę.
2. Nėra reikalo dėti citrinos skiltelės ir druskos ant taurės kraštų.
3. Tas namukas šalia altoriaus yra klausykla, o ne WC.
4. Venkite ramstytis į Marijos skulptūrą ir ypač ją glamonėti bei bučiuoti.
5. Dievo įsakymų yra 10, o ne 12.
6. Yra 12 apaštalų ir nei vienas iš jų nebuvo nykštukas.
7. Neturėtumėte kreiptis į Jėzų Kristų ir apaštalus sakydamas ""JK & kompanija"".
8. Neturėtumėte kalbėdamas apie Judą naudoti tokių terminų kaip ""tas velnio išpera"".
9. Neturėtumėte vadinti šv. Tėvo krikštatėviu.
10. Judas nepasmaugė Jėzaus Kristaus ir Bin Ladenas nieko bendro su tuo neturi.
11. Šventas vanduo skirtas šventinti, o ne kaktai atvėsinti.
12. Mišios niekada neskaitomos sėdint ant altoriaus laiptų.
13. Kai klaupiatės nedėkite biblijos po keliais, kad minkščiau būtų.
14. Vartokite žodį ""Amen"" vietoj ""Oh, men"".
15. Ostijos dalinamos tikintiesiems po išpažinties, o ne naudojamos kaip aperitivas vynui.
16. Stenkitės rengtis rūbus po sutana ir venkite vėdintis, kai būna karšta.
17. Iniciatyva kviesti tikinčiuosius šokti visai priimtina, bet daryti traukinuką bažnyčioje...
18. Nuvalykite užrašą ""Ostijos baras"" nuo bažnyčios durų.
P.S. Tas, kuris sėdėjo altoriaus kampe ir į kurį kreipėtės ""transvestitas su sijonu"", buvau aš!
Tikiuosi, kad kitą sekmadienį ištaisysite savo klaidas.
Vyskupas",anekdotai,"Labai,jaudinausi,prieš,savo,pirmąsias"
"-Tėte, tave matematikos mokytoja į mokyklą kviečia.
-O kas nutiko?
-Ji manęs klausia: kiek bus 7 kart 9? Aš jai sakau: 63. Ji klausia: O 9 kart 7? Aš atsakau: Koks bl.. skirtumas.
-Tikrai, koks skirtumas? Gerai nueisiu.
Kitą dieną grįžta sūnus iš mokyklos, prieina prie tėvo:
-Tėte, tu mokykloje buvai?
-Dar ne.
-Kai eisi, užeik ir pas fizinio mokytoją.
-Kas nutiko?
-Per fizinio pamoką darėme mankštą. Mokytojas liepė pakelti vieną ranką, aš pakėliau. Po to liepė pakelti kitą ranką, aš pakėliau. Po to liepė pakelti kairę koją, aš pakėliau. O dabar sako pakelkite dešinę koją. Aš jam ir sakau, ką ant b... stovėti?
-Ale tikrai. Gerai užeisiu.
Grįžta sūnus iš mokyklos sekančią dieną:
-Tėte tu į mokyklą buvai nuėjęs?
-Dar ne.
-Tai ir neik, mane iš mokyklos išmetė.
-Už ką?
-Pakvietė mane pas direktorių, užeinu į kabinetą, ten sėdi matematikos mokytoja, fizinio mokytojas, ir piešimo mokytoja.
-O piešimo mokytoja kokio b... atėjo?
-Aš tą patį paklausiau.",anekdotai,"-Tėte,,tave,matematikos,mokytoja,į"
"Kalbasi dvi blondinės:
 -Aš apgavau taksistą
 -Kaip?
 -Sumokėjau, bet nevažiavau
 -Čia tai geras!

Tikiuosi anekdotas patiko :))",anekdotai,"Kalbasi,dvi,blondinės:,-Aš,apgavau"
"Eina petriukas per gatve su mama ziuri ant sienos parasyta b...ys..
-Mama ka tai reiskia?
-Cia suneli...pakaba ..pakaba
Eina toliau ziuri uzrasyta p....da
-Mama ka tai reiskia?
-Cia...suneli...vista
eina toliau... ziuri parasyta eikit nx
-Mama ka tai reiskia?
-Na ....eikit prie vaisiu stalo pasivaisinkyt
ir ant pacio kampo mato uzrasa sikna
-mama...
-nu petriuk cia puodelis
istrigo petriukui sie zodziai i sirdi atejo petriuko gimtadienis ir priima svecius....
-Kabinkit paltus ant b...iu ir eikit nx
-Petriuk kaip tu kalbi!!!! Kur tavo mama?!!!!!
-Virtuvei p.....da pesioja
-Petriuk!!!! tu lb nedraugiskas mes iseinam!!!
-Palaukit palaukit as dar jum i siknas arbatos nespejau pripilt ...
:)",anekdotai,"Eina,petriukas,per,gatve,su"
"Motina mokykloje skundžiasi sūnaus matematikos mokytojui:

 - Gerbiamas mokytojau, kodėl jūs vaikams namų darbams uždavėte spręsti uždavinius, kuriuose alaus butelys kainuoja 50 centų? 

 - O kas čia blogo? 

 - Na, mano vyras išgirdęs uždavinio sąlygą taip susinervino, kad visą naktį negalėjo užmigti!",anekdotai,"Motina,mokykloje,skundžiasi,sūnaus,matematikos"
"Įlipa į autobusą hipis. Žiūri sėdi gan simpatiška vienuolė. Hipis prisėdo šalia ir sako:
- Ei, Mažule, gal pasimylėkim?
Vienuolė pasipiktinusi atsako:
- Jūs ką?!Aš Dievo tarnaitė! - Ir atsistojusi išbėgo.Viską girdėjo autobuso vairuotojas ir sako hipiui:
- Ta vienuolė kiekvieną trečiadienį eina į kapines melstis. Tu nueik į tas kapines, apsimesk Dievu, teisėtu jos vyru, ir paprašyk atlikti žmonos pareigą.
Hipis nuėjo trečiadienio naktį į kapines, žiūri - tikrai vienuolė meldžiasi. Jis užsimetė ant savęs antklodę, priėjo arčiau ir sušuko:
- Ooo! Aš Dievas, teisėtas tavo vyras! Dabar atlik žmonos pareigą!
Vienuolė sutiko, tik paprašė, kad seksas būtų analinis. Kai viskas buvo baigta, hipis nusimetė antklodę ir sako:
-Cha Cha! O aš hipis!
O vienuolė nusiėmė abitą ir sako:
-O aš autobuso vairuotojas!",anekdotai,"Įlipa,į,autobusą,hipis.,Žiūri"
"Gyveno žmogus jis nusipirko nama ir klausia mamos:
     -Kaip man pavadinti namą?
     -Koki pirma žodi išgirsi taip pavadink.-pasake mama.
Pirma žodi išgirdo triusikai.Tai ir pavadino triusikais.Kitą dieną ir vėl klausia.
     -Kaip man pavadinti šunį?
     -Koki pirma žodi išgirsi taip ir pavadink.
Jis iš girdo pirmą žodį sisiukas ir pavadino sisiuku.Naktį isibrovė
vagis jis nulipo laiptais ir pasakė:
      -Marš iš mano triusiku o tai sisiuka paleisiu!!!",anekdotai,"Gyveno,žmogus,jis,nusipirko,nama"
"-Aš savo mylimajai per Kalėdas po egle dovanų palikau.
-Apsidžiaugė?
- Dar ne.Ieško. Miškas didelis, eglių daug...",anekdotai,"-Aš,savo,mylimajai,per,Kalėdas"
