category,title,post_slug,image_src,image_alt,post_content,post_excerpt
sports,"Jorge Lorenzo, on his arrival at Honda: 'Ducati preferred to raise the salary to Dovizioso'",jorge-lorenzo-on-his-arrival-at-honda-ducati-preferred-to-raise-the-salary-to-dovizioso,https://okdiario.com/img/2018/08/02/lorenzo-655x368.jpg,"Jorge Lorenzo, on his arrival at Honda: 'Ducati preferred to raise the salary to Dovizioso'","<p> <strong> Jorge Lorenzo </strong> is still at the center of all the lights after his polemic last Sunday with Marc Márquez. After ending the hostilities with which he will be the next MotoGP world champion, he has granted an interview in  La Gazzetta </ ​​em> that has left no one indifferent. The Spanish driver spoke about his departure from Ducati, the arrival at Honda and the reasons that led to it. </p> <p>  Ducati title expectations  </p> <p> 'I am sure that the third year would have had better results, to reach Ducati for me was like changing category, the difference was huge and both they and I underestimated the change. Ducati thought he had signed a three-time world champion who was going to win the title the first year. Ducati did not believe my words that there really was not much left. I was saying it to <strong> Dall'Igna or Domenicali </strong>. I was missing that little piece that would physically allow me to be quick throughout the race. '</p> <p>  Dovizioso's salary  </p> <p>' They should have thought They had a world champion and try to give me what I needed. Instead, they planned to raise the salary of <strong> Dovizioso </strong>, which was winning some races, and sign a cheaper strong driver. He knows how to use words very well. Maintaining a relationship is difficult. I have always tried to be respectful to him. By the time he won and I was suffering, I was happy for the team. The relationship deteriorated when I realized that he did not have the same attitude towards me. He also did it before the press. So I said, enough. '</p> <p>  A new life in Honda  </p> <p>' If the relationship is good and you make friends and have fun , better, but what matters is winning. <strong> Alberto Puig </strong> is like me, I like demanding people with themselves and with others. And they are clear, they say things to your face, without trying to be diplomatic or to please you. Surely Márquez will also become stronger. With Valentino we both raised the level because neither wanted to be the slowest. '</p>",Jorge Lorenzo is still at the center of all the lights after his polemic last Sunday with Marc Márqu...
sports,Marc Márquez: 'I had to force when I saw Rossi',marc-marquez-i-had-to-force-when-i-saw-rossi,https://okdiario.com/img/2018/07/15/marquez-655x368.jpg,Marc Márquez: 'I had to force when I saw Rossi',"<p> For the ninth year in a row, <strong> Marc Márquez has appeared in Sachsenring </strong> as the winner of the race, sixth time as a <strong> MotoGP </strong> driver. And yes, he has won again, as he has shown when he has put all the meat on the grill, something that only happened when he saw that <strong> Valentino Rossi </strong> was approaching. </p> <p > 'I tried to keep calm at the beginning, I expected to get better, but I have gone back. When I put myself first, I saved a little. I kept calm until I saw Valentino coming. I had to force when I saw him: in those 3 or 4 laps he was the key to the race, when I got a second and a half, 'said a <strong> Márquez </strong>, who is satisfied with his advantage in front of the world. 'If you tell me that I leave <strong> Sachsenring </strong> with 46 points I would have signed it. It has not been as I expected it to be. Lucky that both <strong> Yamaha </strong> are wrong (laughs). I was hoping to have more here, it's been a lot harder than last year. '</p> <p> A big part of the blame for this leadership falls on the <strong> Honda de Márquez </strong>, a motorcycle that according to the pilot every time has more potential. 'The strengths are less strong this year, but the weak are also less weak. We are more regular. '</p> <p> But how does <strong> Márquez </strong> explain his idyll with the Sachsenring track? Hard work, neither more nor less, on the part of both the driver and his team. 'Winning 9 times has extra pressure. Here we have to work hard, it seems that I am Superman and that everything will be easy, but it has cost us a lot this weekend. '</p>","For the ninth year in a row, Marc Márquez has appeared in Sachsenring as the winner of the race, six..."
sports,They find a basketball player dead after recording a goodbye video,they-find-a-basketball-player-dead-after-recording-a-goodbye-video,https://okdiario.com/img/2018/07/11/billy-knight-655x368.jpg,They find a basketball player dead after recording a goodbye video,"<p> <strong> William 'Billy' Knight </strong>, former basketball player of the famous UCLA university, <strong> was found dead last Sunday </strong> on a Phoenix road with no apparent signs of fighting , according to the police of the city. Knight appeared just after recording a farewell video entitled 'I am Sorry Lord'. </p> <p> '<strong> I feel like I do not belong in this world ... I'm running out of time </strong> If you feel bad ask for help, do not lengthen it in time. Mental illnesses are serious, 'Billy Knight said through tears in the video. Although the reasons for the death of the 39-year-old former player have not been made public, Knight suffered from severe depression problems. </p> <p> Knight recognizes in the video that he had 'lived a life of sin' and that he was 'honest with a lot of people, including my mother, my brother and my family members. <strong> I isolated myself from everyone, and that's something you do not have to do </strong> r'. With this video explaining his problems, what he intended was to help other people who were in the same situation. '<Strong> I just want to help someone who is like me </strong> ... maybe a former player.' </p>","William 'Billy' Knight , former basketball player of the famous UCLA university, was found dead last..."
sports,Marquez wins over Sachsenring ahead of Rossi and Viñales,marquez-wins-over-sachsenring-ahead-of-rossi-and-vinales,https://okdiario.com/img/2018/07/15/marc-marquez-655x368.jpg,Marquez wins over Sachsenring ahead of Rossi and Viñales,"<p> It is unbeatable, no matter how hard the rest of you try. We are talking about <strong> Marc Márquez at Sachsenring </strong>, a track that ends up seeing him win for the ninth year in a row. And he has won giving a class on how to manage a <strong> MotoGP </strong> race, taking care of the tires when he played and showing his true rhythm when the time came. </p> <p> The start left the umpteenth leadership First lap for Jorge Lorenzo, who during the first laps seemed to have the pace he promised to fight for the win. Even when <strong> Márquez </strong> the Balearic has passed, he held his wheel well. This has been until an error has allowed Rossi to get second, moment from which Jorge has started to pale with a soft front tire that has not been revealed as a good choice. So much, that it has been falling positions until the sixth final. </p> <p> Discarded <strong> Lorenzo </strong>, the fight was between <strong> Márquez and Rossi </strong>. There have even been times when you could dream of a duel between them until the last round. But no, when there were twelve laps to go, Marc has hit a cramp that has allowed him to leave easily. Rossi has not had any answer, although his second place is quite meritorious if we take into account that Friday he finished the free 17th. </p> <p> Once the race was decided, the interest was focused on seeing who achieved the third step of the podium. , which has finally been for a <strong> Maverick Viñales </strong> that has recovered from a bad start. It is not the first time that happens to the Spanish, and it is something that weighs heavily in the face of achieving good results. The one of <strong> Yamaha </strong> has been imposed on Petrucci and a reborn Álvaro Bautista, whose <strong> Ducati </strong> have beaten the two officials, since Dovizioso has entered the finish line just behind Lorenzo and ahead de Pedrosa. </p> <p> After this result the World Championship is more than on track for <strong> Marc Márquez </strong>, which gets 46 points to the second classified, Valentino Rossi. Undoubtedly, a good income to face the summer break of MotoGP, which will run until Friday August 3, the day will begin the first free practice of the GP of the Czech Republic. Until then! </p>","It is unbeatable, no matter how hard the rest of you try. We are talking about Marc Márquez at Sachs..."
sports,Cristiano Ronaldo is deleted from the gala The Best,cristiano-ronaldo-is-deleted-from-the-gala-the-best,https://okdiario.com/img/2018/09/21/cristiano-georgina-655x368.jpg,Cristiano Ronaldo is deleted from the gala The Best,"<p> <strong> After his display at the annual UEFA Awards </strong>, Cristiano Ronaldo has decided to take another step forward and <strong> not to attend the FIFA The Best awards ceremony. </strong> official reason given by Juventus and its surroundings is the <strong> tight schedule of this week of the team with matches this Sunday, Wednesday and another next Saturday, </strong> giving priority to the player's rest on his attendance at the prizes . </p> <p> Thus, <strong> everything points to Cristiano Ronaldo not wearing his sixth FIFA Best The </strong> award and that Luka Modric will be the winner. Although the presence of Leo Messi, who is not nominated for the main prize, seemed to force him to come, finally <strong> the Portuguese has opted to stay at home. </strong> It is assumed that the star of the Juventus was going to win the Puskas prize for their Chilean in the quarterfinals of the Champions League last year. </p> <p> <strong> Both Modric and Salah, </strong> the other two candidates for the FIFA The Best Award , played the 90 minutes of the match of the last day of the League and <strong> next Wednesday also have a match with their respective clubs, leaving the excuse of Cristiano somewhat tarnished </strong>, since the agenda of all Candidates are very full. It is more a question of priorities. </p> <p> <strong> We will see the reaction of Cristiano Ronaldo and his surroundings if he is finally not awarded with the FIFA The Best award </strong>, however, everything indicates that his absence is an irrefutable proof that he will not win the prize. <strong> Never in the history of the award, the winner of the main prize has not come to pick it up. </strong> We will see if we are not attending a new duel between Cristiano and the world football authorities, <strong> something his sister insinuated last week after an unfair expulsion in Mestalla. </strong> </p>","After his display at the annual UEFA Awards , Cristiano Ronaldo has decided to take another step for..."
sports,Marcelo leaves Real Madrid lame,marcelo-leaves-real-madrid-lame,https://okdiario.com/img/2018/09/27/marcelo-real-madrid-655x368.jpg,Marcelo leaves Real Madrid lame,"<p> <strong> Real Madrid </strong> will have to face the derby against Atlético de Madrid <strong> without Marcelo </strong>. The Madrid left-back had to leave the game against Sevilla before the conclusion, leaving his side with 10, for some discomfort in the calf that prevented him from continuing and that makes his presence before the Atletico on Saturday this practically discarded </strong>. So Lopetegui must recompose his defense with Nacho on the left. </p> <p> Marcelo's absence <strong> compromises Madrid's offensive options </strong> against Simeone's. The side is one of the most destabilizing defenders in the world with his constant contributions to the attack and without it the whites will have to look for other resources if they want to beat the eternal rival of the capital in the Bernabéu. </p> <p> The Brazilian <strong > did not come out very well from the game against Sevilla </strong>, where his work was more than questionable, but it is undoubtedly one of the best in his position, if not the best, so his absence in front of the athletes will be a low to take into account. <strong> Lopetegui has the defense in box and has only Nacho as an option </strong> to supply Marcelo, because although Reguilón is part of the template, he has not yet debuted this course. </p> <p> The absence of Marcelo leaves Madrid defense behind. The coach did not take Sevilla to <strong> Carvajal </strong>, that everything points to the return to the mattresses, while <strong> Odriozola </strong> also stayed out as a precaution. If they manage to reach the meeting on Saturday, <strong> Nacho will be the only source of guarantees for the left back. </strong> In principle, the squad is theoretically central but in practice serves as a wild card in any position of the rear. </p> <p> <strong> The problem will come if neither of the two sides manages to arrive on time </strong> for the match against Atlético. It would be then when Lopetegui would have to innovate improvising a defense for one of the parties that will mark the course of this League. </p>",Real Madrid will have to face the derby against Atlético de Madrid without Marcelo . The Madrid left...
economy,Aedas Homes earns 3.7 million in the first half,aedas-homes-earns-3-7-million-in-the-first-half,https://okdiario.com/img/2017/12/07/aedas-655x368.jpg,Aedas Homes earns 3.7 million in the first half,"<p> <strong> Aedas Homes </strong> has obtained a <strong> benefit of 3.7 million euros </strong> in the first half of the year, according to the real estate agency, which claims to be the first of the new firms in the sector to enter profits, a result that achieves <strong> eight months after its IPO. </strong> </p> <p> The company led by David Martinez registered <strong> total income of 14, 7 million euros </strong> until June, to which we must add 11.9 million euros in tax credits. </p> <p> Of this total income, the <strong> first deliveries of homes they carried 7.2 million </strong> and the sale of non-strategic land, another 7.5 million. Aedas ensures that these operations generated a gross margin of up to 28.6%. </p> <p> In its semi-annual accounts, the real estate company rules out that the inflation of construction costs affects its economic and profitability objectives. According to he assures, in spite of the <strong> increase of the construction activity </strong>, the sale prices of his houses have risen above these costs. </p> <p> As regards the <strong> 1.862 housing </strong> that the promoter had as of August 31 in construction, finished or delivered, its gross margin increased to <strong> 208.1 million euros compared to the 174.7 expected. </strong> </p> <p> The first executive of Aedas described as 'very good' these results, which he estimates '<strong> even better than expected </strong>' and that, in his opinion, confirm that the company is 'surpassing Its objectives and margins '. </p> <p> In addition, he assured that the prospects until the end of the year and the visibility for 2019 and 2020 on the level of development of projects and the good rhythm of reserves and sales' are positive '. 'It gives total peace of mind to continue fulfilling the <strong> Business Plan </strong>', says. </p> <p> In this sense, and in the operational plan, on August 31, Aedas added 6,287 active homes, 55% more than in December 2017. Of this portfolio of properties under management, up to 1,623 are under construction. </p> <p> Regarding deliveries, the company had at the end of August completed the construction of the 222 homes which will be delivered in 2018, of which 190 were sold and 97 delivered. </p> <p> By 2019, it aims to give the keys to 1,055 homes, of which it already has <strong> 1,071 under construction and 761 sold </strong>. As for the total pre-sales accumulated, the promoter had closed 1,659 transactions until August. </p> <p> Regarding its land portfolio, currently it is equivalent to 14,521 homes and around 90% is qualified as a finalist. 35% of these assets are located in the downtown area, 18% in Levante and Baleares, 16% in the Costa del Sol, 16% in Andalusia and 15% in Catalonia, the 5 most dynamic residential markets in the country . </p>","Aedas Homes has obtained a benefit of 3.7 million euros in the first half of the year, according to ..."
economy,Linde says there is no real estate bubble in Spain because it is not reflected in the credit,linde-says-there-is-no-real-estate-bubble-in-spain-because-it-is-not-reflected-in-the-credit,https://okdiario.com/img/2018/05/25/linde-655x368.jpg,Linde says there is no real estate bubble in Spain because it is not reflected in the credit,"<p> The governor of the Bank of Spain, <strong> Luis María Linde </strong>, has ruled out this Friday that Spain is going through a new real estate bubble, since these 'manifest themselves in the credit' and that is not happening. </p> <p> During his speech at an informative breakfast organized by El Independiente, Linde insisted that <strong> no bubble 'symptoms' are observed </strong> because the credit 'is not rising even remotely like to the bubble 'between 2004 and 2008. </p> <p> The governor has admitted that <strong>' in some specific places '</strong> housing prices have gone up, but he recalled that' they had gone down a lot '. </p> <p> The average price of <strong> free housing </strong> rose by 2.7% between January and March, compared to the same period in 2017, bringing the total to 12 quarters consecutive upward, according to data from the Ministry of Development. </p> <p> Linde, also recalled that his term in the Bank of Spain finalizes the next <strong> June 8 </strong>, after six years of government, and recalled that according to the law of the supervising body, its extension is 'completely impossible'. </p> <p> 'My mandate ends on June 8 and no extension is possible, in any way, according to the Law of Autonomy of the <strong> Bank of Spain </strong> ', Linde has signed during his participation in an informative breakfast organized by 'The Independent' and sponsored by Accenture. </p> <p> Linde has underlined that the <strong> Autonomy Law </strong> of the supervisory body is 'very well done', so the postponement of its mandate is 'impossible'. </p> <p> The Minister of Economy, Industry and Competitiveness, <strong> Román Escolano </strong>, explained this week that the Government will 'scrupulously' meet the deadlines for appointing Linde's replacement. The own Escolano will announce the proposal of the president of the Government, <strong> Mariano Rajoy </strong>, on the new governor of the supervising organism in a Commission of Economy of the House, that will be celebrated the next week or the following one. </p> <p> After the minister announces the name of the new governor in Congress, the appointment will be validated in the <strong> Council of Ministers </strong> on June 1 or no later than June 8. </p>","The governor of the Bank of Spain, Luis María Linde , has ruled out this Friday that Spain is going ..."
economy,The sale of homes starts 2018 with its biggest increase in ten years after shooting 23%,the-sale-of-homes-starts-2018-with-its-biggest-increase-in-ten-years-after-shooting-23,https://okdiario.com/img/2016/07/25/viviendas-655x368.jpg,The sale of homes starts 2018 with its biggest increase in ten years after shooting 23%,"<p> The housing market begins 2018 on the right foot. The sale of homes <strong> shot up 23.1% </strong> last January in relation to the same month of 2017, to add 47,289 operations, its <strong> highest rise since May 2008 </strong> , as reported by the National Institute of Statistics (INE) on Wednesday. </p> <p> The year-on-year advance of January, with which the sale of homes <strong> chains nine consecutive months of increases </strong>, has it was higher than the one registered in December, a month in which it increased by 18.1%. </p> <p> <strong> Transactions on used homes increased by 23% in January compared to the same month in 2017 </strong> , until totaling 39,017; while the sale of new homes increased by 23.5% year-on-year, to 8,272 transactions. </p> <p>    Number of purchases of registered dwellings (in thousands) (Source: INE)   </p> <p> 90.4% of the homes transmitted by purchase in the first month of the year were free dwellings and 9.6% protected. The sale of free dwellings increased by 24.1% in January in interannual rate, to add 42,745 transactions, while operations on sheltered housing advanced 14.5%, with 4,544 transactions. </p> <p> In monthly terms (January 2018 on December 2017), the sale of homes <strong> shot up 46.8%, </strong> its biggest monthly rebound in a month of January for at least five years. </p> <p> Last January, the largest number of home sales per 100,000 inhabitants occurred in the <strong> Comunidad Valenciana (190), Baleares (174) and Cantabria (144). </strong> </p> <p> <strong> Andalucía was the region that carried out the most operations on housing in the first month of the year </strong>, with 8,988 purchases, followed by Comunidad Valenciana (7,409), Cataluña (7,334) and Madrid (6,526). </p> <p> All communities increased the number of home sales in January in interannual rate. The greatest advances were registered in Asturias, which grew by 55.7%; Comunidad Valenciana, which climbs 40.5% and Murcia, 38.8%; while the smallest increases corresponded to Extremadura, which advances 1.3% and Aragon, meanwhile, 5.2%. </p> <p> Adding rural and urban properties (housing and other real estate of nature urban), <strong> the farms broadcast last January reached 176,911, a figure of 13.2% </strong> higher than in the same month of 2017 and the highest since October 2008. </p> </p> By purchase, 17.6% more farms were transferred than in January 2017, while donation transmissions fell by 17.4%, swap transactions increased by 9.1% and transfers by inheritance advanced by 15%. %. </p> <p> According to INE data, the number of purchases of rural properties increased by 18.9% last January, to a total of 13,728 operations, while the purchases of urban properties increased by 17 , 3%, up to 80,332 operations. </p> <p> In January, the highest number of sales of farms transmitted per 100,000 inhabitants occurred in La Rioja (833), Aragón (732) and Castilla y León (713). </p>",The housing market begins 2018 on the right foot. The sale of homes shot up 23.1% last January in re...
sports,Thompkins announces his continuity at Real Madrid,thompkins-announces-his-continuity-at-real-madrid,https://okdiario.com/img/2018/04/26/trey-thompkins-655x368.jpg,Thompkins announces his continuity at Real Madrid,"<p> <strong> Real Madrid </strong> will not lose one of the heroes of the Tenth. <strong> Trey Thompkins </strong> announced, through his Twitter account, <strong> his stay on the white team </strong> for next season. The power forward had an important offer from Anadolu Efes that he has decided to reject since his first option was to continue wearing white. </p> <p> The <strong> agreement between Thompkins and Real Madrid </strong> his renovation was total, but <strong> the call of Anadolu Efes came to place the interior with a foot and a half outside </strong> of the entity in which he has remained the next three seasons. Luckily for Real Madrid, Trey decided on loyalty and announced it on the net. <Strong> 'I am happy to announce that I will continue playing for Real Madrid. Come on!'. </strong> </p> <p lang = 'en' dir = 'ltr'> I am happy to announce that I will be returning to Real Madrid !! #Go Madrid! Let's Goooooo! </p> <p> - Trey Thompkins (@TreyThompkins) June 23, 2018 </p> <p>   </p> <p> In an interview prior to the Euroleague Final Four, <strong> Thompkins assured OKDIARIO that his intention was to finish his career at Real Madrid. ","Real Madrid will not lose one of the heroes of the Tenth. Trey Thompkins announced, through his Twit..."
