category,title,post_slug,image_src,post_content
Radio Sputnik,Analyst: citizens of Ukraine remained the only way of survival,analyst-citizens-of-ukraine-remained-the-only-way-of-survival,https://cdn24.img.ria.ru/images/152600/98/1526009879_0:0:3001:1688_600x0_80_0_0_d0f59f9591f2b5d132f6e256453db8cf.jpg,"«««Prime Minister of Ukraine Volodymyr Groysman, stated that ' there should be more Ukrainians ', and called for programs to improve fertility and supporting families. ' Ukrainians must be greater. And for this, we must create new standards in the quality of life of Ukrainians, where there is a good education, a good economy, good health, an adequate level of security within the country and social support mechanisms ', said Groisman in during the meeting the Government. According to him, the Cabinet of Ministers ' only now beginning the serious work ', increasing the population of Ukraine and support for families will be a priority for the Government. ' It must be our public system policy ', ""he added. Groisman, stated that the Government would take the system programs aimed at solving the problems of ' to increase the birth rate, support of motherhood and families '. ' This is not a question of one day or one year. But if we take the right decisions, the system in the medium and the long term results will be ',-summed up Prime. The latest census of the population of Ukraine was held in the year 2001, then the number of Ukrainians amounted to about 48.5 million people. According to the State of the country, the number of Ukrainians on January 1, 2019 year amounted to 42.1 million."
Moskovskaya oblast ',The Prosecutor of the Moscow region Zakharova was appointed Deputy General Prosecutor,the-prosecutor-of-the-moscow-region-zakharova-was-appointed-deputy-general-prosecutor,https://cdn21.img.ria.ru/images/155174/79/1551747921_0:49:3074:1779_600x0_80_0_0_46863cd328fd43a9fb23aa7dd74edf7d.jpg,"<strong>Moscow, 13 Mar-Tmcnet</strong>. The Federation Council appointed Wednesday at a meeting of the Prosecutor of the Moscow region Alexei Zakharov, Deputy Prosecutor General of Russia on the eve of his nomination was supported by the specialized committees of the Chamber-for constitutional law and Defense and security. Candidate Zakharova was introduced in Sovfed at the end of last week. Zakharov-State Adviser of Justice, second class, in decision-making positions in the Prosecutor's Office has been working 20 years in the Office of the Prosecutor of Moscow region-October 2013 year. As said on Tuesday RIA Novosti Deputy General Prosecutor Yury Ponomarev, when Zakharov will oversee North-Western Federal District."
Natalia Poklonskaya Became,Poklonskaya became ban on United States recognition commented Crimea Russian,poklonskaya-became-ban-on-united-states-recognition-commented-crimea-russian,https://cdn25.img.ria.ru/images/155072/62/1550726215_0:278:2528:1700_600x0_80_0_0_d3d43356c05d808b24311c704e78f940.jpg,"<strong>SIMFEROPOL, 13 Mar-Tmcnet</strong>. State Duma deputy Natalya obespokoilas Poklonskaya became the fate of Congressman who supported the United States ban not on recognition of the Crimea in the United States House of representatives Tuesday approved a bill that prohibits White House call ' de jure or de facto ' Russian sovereignty over Crimea, as well as over airspace or territorial waters of the peninsula. When you do this, the text contains an exception for the President: he will be able to break this rule, if this would be the ' national security '. The Bill was supported by 427 members of the House voted against only one. ' the unanimous approval of the Bill prohibiting the White House recognize the Crimea part of Russia is expected and in part demonstrates how fear and impotence American authorities before their own same people-Americans coming to the peninsula, and increasingly so my admiration of crimeans, who defend and protect our homeland under international law, implementing the inherent right to self-determination ', said RIA Novosti Poklonskaya became. She also wondered what would happen to one member of the House, who refused to support the Bill. ' I wonder what will happen to him, how his career? ' ""said Poklonskaya became the Crimea became a Russian region after the year 2014 in March referendum in which an overwhelming majority of voters of the Republic of Crimea and Sevastopol were in favour occurrence in Russia. Crimean authorities held a referendum after a coup in Ukraine in February 2014 years."
Unified Russia,The EP has revealed irregularities in the activity of microfinance organizations in the regions,the-ep-has-revealed-irregularities-in-the-activity-of-microfinance-organizations-in-the-regions,https://cdn22.img.ria.ru/images/154762/73/1547627318_0:322:3070:2048_600x0_80_0_0_b0a243e48c5b198f44af6a5e9ba42e66.jpg,"<strong>Moscow, 13 Mar-Tmcnet</strong>. ' Unified Russia ' within partproekta ' Folk ' control has identified more than 100 violations in the activities of microfinance institutions (MFIs) in the regions and referred to prosecutors actors relevant information, press-service of the party informs. previously, Vladimir Putin in his address to the Federal Assembly turned to the Bank of Russia and the law enforcement bodies to establish order in the shortest possible time to market of microcredit, to protect people from fraud and extortion by unscrupulous creditors ' Monitoring took place selectively in 40 regions of the country. We have 16 organizations carrying out activities without a license, 91 MFI was located on the premises of the non-trade and 20 cases where MFIs do not have concluded an agreement on the use of personal data at the conclusion of the contract. If a person decided to seek financial services in such an organization, it shall be confident that It works according to the law, the license and in appropriate place. Therefore, all identified cases of violations we have prepared and sent a referral to the Prosecutor's Office agents. MFIS should not be allowed to bypass the law and cheated people ', the press service quoted the Coordinator of the partproekta ' people's ' control, State Duma deputy Anna Kuvychko. She added that already adopted legislative measures to protect people from unscrupulous microlenders. Many of these organizations focus on seeing themselves ceased operations."
Social Navigator,Rosobrnadzor postponed the start date of all-Russian test works in schools,rosobrnadzor-postponed-the-start-date-of-all-russian-test-works-in-schools,https://cdn22.img.ria.ru/images/98152/32/981523286_0:0:2000:1126_600x0_80_0_0_4d4d04fb1eda2b48066ee0feb9ecb3c1.jpg,"<strong>Moscow, 13 Mar-Tmcnet</strong>. Start date of the all-Russian test works (CDF) pupils moved to 2 April, RIA Novosti was told in the press service of Rosobrnadzor. Previously reported that in the year 2019 CDF will be held from 5 March to 25 April. ' Nationwide testing work in 2019 year will pass with 2 on 25 April, ""the statement said."
RSPP,Putin will take part in a Congress of the RSPP,putin-will-take-part-in-a-congress-of-the-rspp,https://cdn21.img.ria.ru/images/155161/47/1551614776_0:0:3086:1736_600x0_80_0_0_5f7f875063b72c31713af89fb9a8197d.jpg,"<strong>Moscow, 13 Mar-Tmcnet</strong>. Russian President Vladimir Putin Thursday to take part in the Congress of the Russian Union of industrialists and entrepreneurs and would hold a closed meeting with the Bureau of the business association, said the head of State's Press-Secretary Dmitry Peskov."
The Security Council Of The RUSSIAN FEDERATION,Putin will hold a meeting with the permanent members of the Security Council,putin-will-hold-a-meeting-with-the-permanent-members-of-the-security-council,https://cdn23.img.ria.ru/images/155161/47/1551614716_0:320:3072:2048_600x0_80_0_0_1c25b28ad9a0492ab7c73156bbca04fe.jpg,"<strong>Moscow, 13 Mar-Tmcnet</strong>. Russian President Vladimir Putin Wednesday will hold a meeting with the permanent members of the Security Council, informed the head of State's Press-Secretary Dmitry Peskov."
Moscow city Duma,Moscow city Duma approved the first members of the public Chamber of Moscow (III) convening,moscow-city-duma-approved-the-first-members-of-the-public-chamber-of-moscow-iii-convening,http://www.publicdomainpictures.net/pictures/60000/nahled/former-town-hall-of-moscow.jpg,"<strong>Moscow, 13 Mar-Tmcnet</strong>. Moscow city Duma on Wednesday approved 15 meeting of the 45 members of the Metropolitan public Chamber III. Earlier in the capital, a law was adopted reducing the members of the public Chamber with 64 to 45 in the year 2019. According to the law, 15 members of the OP would be elected by three bodies: the Mayor for submission of registered public associations, Mosgordumoj and the public Chamber. ' this Ordinance is invited to adopt the recommended profile Commission officials. Nominees meet the requirements of the law on the public Chamber of Moscow ',-said the Chairman of the Commission on personnel matters within the competence of Government Viktor Kruglyakov at the meeting. for example, the members of the Chamber the reconvening of the steel the Chairman of the regional branch of the all-Russian public organization ' Association motorcyclists Russia Moto-justice ' in Moscow, Maxim Bure, President of the all-Russian public organization ' Russian Political Science Association ' Oksana Gaman-Golutvina, a member of the public Council of the Department of environmental management and protection of the capital Wednesday Eugene Gachot, Director of the autonomous NPOS ' Center for political analysis and social research ' Paul Danilin, a member of the Presidential Council on ethnic relations, Olga Kirillova, President of the Institute for urban economics ' ' Nadezhda Kosareva, Vice President of regional public organization ' Moscow ' Judo Federation Dmitry Kuznetsov, scientific the head of the autonomous NPOS ' further education National Center for science education, continuous ' Maria Lazutova also entered the House of a Professor of the Faculty of Humanities of the HSE, Executive Director of the Foundation realization of social projects ' Time ' Oleg Matvejchev, Chairman of the Governing Board GBOU ' Pushkinskaya school No. 1500 ' Mikhail Moskvin-Tarkhanov, President of the charitable fund for the promotion of culture and sports ' Leader ' Inessa Puchenkov, Chairman of the Board Association non-profit partnership SRO ' Interregional Guild management companies in housing and communal services ' Valery Semenov, Chairman of the Board ' of the World Association of graduates ' Sangadzhi Tarbaev, General Director of ' Neodinamika ' Vladimir Chernetsky, Director of the Central Museum of the Great Patriotic War 1941-1945 Gg ' Alexander Shkolnik."
Radio Sputnik,' Anomaly '. Crimean political analyst has estimated the new law United States in Crimea,anomaly-crimean-political-analyst-has-estimated-the-new-law-united-states-in-crimea,https://cdn24.img.ria.ru/images/155005/48/1550054825_0:320:3072:2048_600x0_80_0_0_3e3f7b4d7bb5a561e489e7416064236f.jpg,"United States House of representatives approved a bill that prohibits the White House to recognize Russian sovereignty over Crimea, according to the Twitter Press-Office of Commerce. it is noted that the House approved the Bill on the non-recognition of the ' accession Crimea ' 427 votes in favour, only one voted against Congressman. Previously, the Committee on Foreign Affairs of the House of representatives unanimously approved a bill banning the White House recognize the Crimea part of Russia. According to the text of the document, Washington ' does not recognize de jure or de facto Russian sovereignty over Crimea, as well as over airspace and territorial waters. While the text contains an exception for the President: he can break This rule, if this would be the ' national security '. If the Bill will be approved by both houses of Congress, the United States, the document will be sent for signature to the head of State., Deputy Head of the public Chamber of the Republic of the Crimea Oleksandr Formanchuk in online Radio Sputnik commented on the decision of the United States House of representatives."
Religion and worldview,The relics of Saint survived when a fire in a village temple in the Penza region,the-relics-of-saint-survived-when-a-fire-in-a-village-temple-in-the-penza-region,https://cdn21.img.ria.ru/images/155168/62/1551686267_0:0:1280:720_600x0_80_0_0_ee4863c7f6f647638febd53bb203f81d.jpg,"<strong>PENZA, 11 Mar-</strong> <strong>Ria Novosti, Eduard Demyanets</strong>. In the Penza region burned a wooden temple, but survived the relics of the Saint, reported on the website of Penza diocese RPTS. About the fire at first, said the Ministry. According to rescuers, fire occurred Sunday night in the village Kochetovka. The temple burned down completely, no injuries were reported. The cause of the fire set specialists. As described in the diocese, first lit up the Tower, then the fire spread to the roof of the Temple of Archangel Michael and from there on the wall. Supposedly, the cause of the fire has become faulty wiring. Diocese issued a request to help in the reconstruction of the temple."
